# Theta(Rad)    Chord(m)     Cl     ClMax
0.03110488 0.46205945 0.13620691 1.40000000
0.06220976 0.46362178 0.26623013 1.40000000
0.09331463 0.46622398 0.38697873 1.40000000
0.12441951 0.46986355 0.49695705 1.40000000
0.15552439 0.47453695 0.59560699 1.40000000
0.18662927 0.48023967 0.68301528 1.40000000
0.21773414 0.48696619 0.75967962 1.40000000
0.24883902 0.49470999 0.82635201 1.40000000
0.27994390 0.50346360 0.88391655 1.40046181
0.31104878 0.51321854 0.93330716 1.40176247
0.34215366 0.52396537 0.97544857 1.40319538
0.37325853 0.53569369 1.01122023 1.40475916
0.40436341 0.54839217 1.04143389 1.40645229
0.43546829 0.56204852 1.06682339 1.40827314
0.46657317 0.57664951 1.08804112 1.41021993
0.49767804 0.59218104 1.10566014 1.41229081
0.52878292 0.60862807 1.12017879 1.41448374
0.55988780 0.62597468 1.13202726 1.41679662
0.59099268 0.64420411 1.14157470 1.41922721
0.62209756 0.66329871 1.14913640 1.42177316
0.65320243 0.68324002 1.15498066 1.42443200
0.68430731 0.70400873 1.15933509 1.42720116
0.71541219 0.72558476 1.16239232 1.43007797
0.74651707 0.74794723 1.16431492 1.43305963
0.77762194 0.77107451 1.16523985 1.43614327
0.80872682 0.79494422 1.16528204 1.43932590
0.83983170 0.81953328 1.16453776 1.44260444
0.87093658 0.84481789 1.16308708 1.44597572
0.90204145 0.87077359 1.16099636 1.44943648
0.93314633 0.89737527 1.15831989 1.45298337
0.96425121 0.92459720 1.15510163 1.45661296
0.99535609 0.95241305 1.15137628 1.46032174
1.02646097 0.98079589 1.14717051 1.46410612
1.05756584 1.00971828 1.14250344 1.46796244
1.08867072 1.03915223 1.13738756 1.47188696
1.11977560 1.06906926 1.13182869 1.47587590
1.15088048 1.09944044 1.12582661 1.47992539
1.18198535 1.13023638 1.11937452 1.48403152
1.21309023 1.16142729 1.11245938 1.48819031
1.24419511 1.19298300 1.10506060 1.49239773
1.27529999 1.22487297 1.09715015 1.49664973
1.30640487 1.25706635 1.08868991 1.50094218
1.33750974 1.28953200 1.07963127 1.50527093
1.36861462 1.32223851 1.06990975 1.50963180
1.39971950 1.35515424 1.05944343 1.51402057
1.43082438 1.38824735 1.04812037 1.51843298
1.46192925 1.42148582 1.03579287 1.52286478
1.49303413 1.45483749 1.02223840 1.52731166
1.52413901 1.48827010 1.00713132 1.53176935
1.55524389 1.52175130 0.98978044 1.53623351
1.58634877 1.52175130 0.98978044 1.53623351
1.61745364 1.48827010 1.00713132 1.53176935
1.64855852 1.45483749 1.02223840 1.52731166
1.67966340 1.42148582 1.03579287 1.52286478
1.71076828 1.38824735 1.04812037 1.51843298
1.74187315 1.35515424 1.05944343 1.51402057
1.77297803 1.32223851 1.06990975 1.50963180
1.80408291 1.28953200 1.07963127 1.50527093
1.83518779 1.25706635 1.08868991 1.50094218
1.86629267 1.22487297 1.09715015 1.49664973
1.89739754 1.19298300 1.10506060 1.49239773
1.92850242 1.16142729 1.11245938 1.48819031
1.95960730 1.13023638 1.11937452 1.48403152
1.99071218 1.09944044 1.12582661 1.47992539
2.02181705 1.06906926 1.13182869 1.47587590
2.05292193 1.03915223 1.13738756 1.47188696
2.08402681 1.00971828 1.14250344 1.46796244
2.11513169 0.98079589 1.14717051 1.46410612
2.14623657 0.95241305 1.15137628 1.46032174
2.17734144 0.92459720 1.15510163 1.45661296
2.20844632 0.89737527 1.15831989 1.45298337
2.23955120 0.87077359 1.16099636 1.44943648
2.27065608 0.84481789 1.16308708 1.44597572
2.30176095 0.81953328 1.16453776 1.44260444
2.33286583 0.79494422 1.16528204 1.43932590
2.36397071 0.77107451 1.16523985 1.43614327
2.39507559 0.74794723 1.16431492 1.43305963
2.42618047 0.72558476 1.16239232 1.43007797
2.45728534 0.70400873 1.15933509 1.42720116
2.48839022 0.68324002 1.15498066 1.42443200
2.51949510 0.66329871 1.14913640 1.42177316
2.55059998 0.64420411 1.14157470 1.41922721
2.58170485 0.62597468 1.13202726 1.41679662
2.61280973 0.60862807 1.12017879 1.41448374
2.64391461 0.59218104 1.10566014 1.41229081
2.67501949 0.57664951 1.08804112 1.41021993
2.70612436 0.56204852 1.06682339 1.40827314
2.73722924 0.54839217 1.04143389 1.40645229
2.76833412 0.53569369 1.01122023 1.40475916
2.79943900 0.52396537 0.97544857 1.40319538
2.83054388 0.51321854 0.93330716 1.40176247
2.86164875 0.50346360 0.88391655 1.40046181
2.89275363 0.49470999 0.82635201 1.40000000
2.92385851 0.48696619 0.75967962 1.40000000
2.95496339 0.48023967 0.68301528 1.40000000
2.98606826 0.47453695 0.59560699 1.40000000
3.01717314 0.46986355 0.49695705 1.40000000
3.04827802 0.46622398 0.38697873 1.40000000
3.07938290 0.46362178 0.26623013 1.40000000
3.11048778 0.46205945 0.13620691 1.40000000
